#coronavirus,, p_yes: 0.0004529094542215374, p_no: 3.519986483251904e-06, c_yes: 3, c_no: 0
voice, p_yes: 0.00030244119700507976, p_no: 0.00035551863480844234, c_yes: 2, c_no: 1
flu,, p_yes: 0.000603377711437995, p_no: 0.00035551863480844234, c_yes: 4, c_no: 1
looks, p_yes: 0.0001519729397886222, p_no: 0.001059515931458823, c_yes: 1, c_no: 3
sources., p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
whole, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
wake, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
know, p_yes: 0.0019575920263861135, p_no: 0.0028195091730847752, c_yes: 13, c_no: 8
movies, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
face, p_yes: 0.000603377711437995, p_no: 0.001059515931458823, c_yes: 4, c_no: 3
at, p_yes: 0.005418361942364639, p_no: 0.005635498359686299, c_yes: 36, c_no: 16
guy, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
company, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
johnson, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
relief, p_yes: 0.000603377711437995, p_no: 3.519986483251904e-06, c_yes: 4, c_no: 0
first, p_yes: 0.0016566555119531983, p_no: 0.00035551863480844234, c_yes: 11, c_no: 1
spoke, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
year, p_yes: 0.000603377711437995, p_no: 0.00035551863480844234, c_yes: 4, c_no: 1
gaston, p_yes: 0.0004529094542215374, p_no: 3.519986483251904e-06, c_yes: 3, c_no: 0
china, p_yes: 0.0010547824830873678, p_no: 0.00035551863480844234, c_yes: 7, c_no: 1
56, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
join, p_yes: 0.0001519729397886222, p_no: 0.0007075172831336327, c_yes: 1, c_no: 2
made, p_yes: 0.000603377711437995, p_no: 0.00035551863480844234, c_yes: 4, c_no: 1
hands., p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
mild, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
ng, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
announced, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
conditions, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
march, p_yes: 0.0012052507403038256, p_no: 3.519986483251904e-06, c_yes: 8, c_no: 0
go, p_yes: 0.001355718997520283, p_no: 0.0021155118764343943, c_yes: 9, c_no: 6
spain, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
38-year-old, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
hoax, p_yes: 0.0007538459686544526, p_no: 0.00035551863480844234, c_yes: 5, c_no: 1
cause, p_yes: 0.0004529094542215374, p_no: 3.519986483251904e-06, c_yes: 3, c_no: 0
pence:, p_yes: 1.5046825721645762e-06, p_no: 0.0007075172831336327, c_yes: 0, c_no: 2
people., p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
y’all, p_yes: 0.000603377711437995, p_no: 0.0028195091730847752, c_yes: 4, c_no: 8
largest, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
total, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
failed, p_yes: 0.0004529094542215374, p_no: 3.519986483251904e-06, c_yes: 3, c_no: 0
hospital, p_yes: 0.0015061872547367408, p_no: 0.0007075172831336327, c_yes: 10, c_no: 2
kill, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
country, p_yes: 0.0007538459686544526, p_no: 0.00035551863480844234, c_yes: 5, c_no: 1
cannot, p_yes: 0.0001519729397886222, p_no: 0.0007075172831336327, c_yes: 1, c_no: 2
#covid2019, p_yes: 0.00030244119700507976, p_no: 0.00035551863480844234, c_yes: 2, c_no: 1
being, p_yes: 0.0019575920263861135, p_no: 0.0007075172831336327, c_yes: 13, c_no: 2
bunch, p_yes: 1.5046825721645762e-06, p_no: 0.0007075172831336327, c_yes: 0, c_no: 2
in, p_yes: 0.020615655921226855, p_no: 0.01513946186446644, c_yes: 137, c_no: 43
info, p_yes: 0.00030244119700507976, p_no: 0.00035551863480844234, c_yes: 2, c_no: 1
long, p_yes: 1.5046825721645762e-06, p_no: 0.0007075172831336327, c_yes: 0, c_no: 2
three, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
online, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
victims, p_yes: 0.00030244119700507976, p_no: 0.00035551863480844234, c_yes: 2, c_no: 1
usa, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
will, p_yes: 0.003913679370200063, p_no: 0.003523506469735156, c_yes: 26, c_no: 10
city, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
close, p_yes: 0.001355718997520283, p_no: 3.519986483251904e-06, c_yes: 9, c_no: 0
3., p_yes: 0.000603377711437995, p_no: 0.0007075172831336327, c_yes: 4, c_no: 2
bad, p_yes: 0.000603377711437995, p_no: 3.519986483251904e-06, c_yes: 4, c_no: 0
china,, p_yes: 0.0004529094542215374, p_no: 3.519986483251904e-06, c_yes: 3, c_no: 0
pence, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
battling, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
lead, p_yes: 0.00030244119700507976, p_no: 0.00035551863480844234, c_yes: 2, c_no: 1
feel, p_yes: 0.000603377711437995, p_no: 0.0007075172831336327, c_yes: 4, c_no: 2
irresponsible, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
rona, p_yes: 1.5046825721645762e-06, p_no: 0.0007075172831336327, c_yes: 0, c_no: 2
22, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
rt, p_yes: 0.0004529094542215374, p_no: 0.001763513228109204, c_yes: 3, c_no: 5
over,, p_yes: 1.5046825721645762e-06, p_no: 0.001059515931458823, c_yes: 0, c_no: 3
3.4%, p_yes: 0.000603377711437995, p_no: 3.519986483251904e-06, c_yes: 4, c_no: 0
gave, p_yes: 0.0001519729397886222, p_no: 0.0007075172831336327, c_yes: 1, c_no: 2
vegas., p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
symptoms., p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
prevent, p_yes: 0.000603377711437995, p_no: 3.519986483251904e-06, c_yes: 4, c_no: 0
wishes, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
quarantine., p_yes: 0.00030244119700507976, p_no: 0.001059515931458823, c_yes: 2, c_no: 3
always, p_yes: 0.0001519729397886222, p_no: 0.0014115145797840135, c_yes: 1, c_no: 4
soon, p_yes: 0.000603377711437995, p_no: 0.00035551863480844234, c_yes: 4, c_no: 1
invite, p_yes: 1.5046825721645762e-06, p_no: 0.001059515931458823, c_yes: 0, c_no: 3
scare, p_yes: 0.0004529094542215374, p_no: 0.00035551863480844234, c_yes: 3, c_no: 1
like, p_yes: 0.0022585285408190285, p_no: 0.004227503766385537, c_yes: 15, c_no: 12
members, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
hand, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
much., p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
create, p_yes: 0.00030244119700507976, p_no: 0.001059515931458823, c_yes: 2, c_no: 3
upon, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
area., p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
asians, p_yes: 0.00030244119700507976, p_no: 0.00035551863480844234, c_yes: 2, c_no: 1
outbreak,, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
attendee, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
fellow, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
amnesty, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
call, p_yes: 0.000603377711437995, p_no: 0.001059515931458823, c_yes: 4, c_no: 3
return, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
confront,, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
see, p_yes: 0.0007538459686544526, p_no: 0.001763513228109204, c_yes: 5, c_no: 5
hoax”, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
chinese, p_yes: 0.0009043142258709102, p_no: 0.0007075172831336327, c_yes: 6, c_no: 2
confirms, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
to, p_yes: 0.036414822928954906, p_no: 0.03273939428072596, c_yes: 242, c_no: 93
patna, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
world, p_yes: 0.0015061872547367408, p_no: 0.0007075172831336327, c_yes: 10, c_no: 2
hotel, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
patients,, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
check, p_yes: 0.0004529094542215374, p_no: 0.001059515931458823, c_yes: 3, c_no: 3
support, p_yes: 0.00030244119700507976, p_no: 0.0007075172831336327, c_yes: 2, c_no: 2
@potus, p_yes: 0.000603377711437995, p_no: 3.519986483251904e-06, c_yes: 4, c_no: 0
approx., p_yes: 0.0001519729397886222, p_no: 0.0007075172831336327, c_yes: 1, c_no: 2
coming, p_yes: 0.00030244119700507976, p_no: 0.001763513228109204, c_yes: 2, c_no: 5
spray, p_yes: 0.0004529094542215374, p_no: 3.519986483251904e-06, c_yes: 3, c_no: 0
just, p_yes: 0.00406414762741652, p_no: 0.0038755051180603467, c_yes: 27, c_no: 11
<link>, p_yes: 0.0009043142258709102, p_no: 0.0014115145797840135, c_yes: 6, c_no: 4
indian, p_yes: 0.0004529094542215374, p_no: 0.00035551863480844234, c_yes: 3, c_no: 1
short, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
prioritize, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
years., p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
child, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
businesses, p_yes: 0.00030244119700507976, p_no: 0.00035551863480844234, c_yes: 2, c_no: 1
extent, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
focusing, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
yet, p_yes: 0.00030244119700507976, p_no: 0.0007075172831336327, c_yes: 2, c_no: 2
estimates, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
quote, p_yes: 1.5046825721645762e-06, p_no: 0.0007075172831336327, c_yes: 0, c_no: 2
already, p_yes: 0.000603377711437995, p_no: 0.0014115145797840135, c_yes: 4, c_no: 4
incompetence, p_yes: 0.00030244119700507976, p_no: 0.0007075172831336327, c_yes: 2, c_no: 2
aiims, p_yes: 0.0004529094542215374, p_no: 3.519986483251904e-06, c_yes: 3, c_no: 0
emergency, p_yes: 0.0009043142258709102, p_no: 0.00035551863480844234, c_yes: 6, c_no: 1
save, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
er, p_yes: 0.000603377711437995, p_no: 0.001059515931458823, c_yes: 4, c_no: 3
returned, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
south, p_yes: 0.000603377711437995, p_no: 3.519986483251904e-06, c_yes: 4, c_no: 0
dirty, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
deaths, p_yes: 0.000603377711437995, p_no: 0.00035551863480844234, c_yes: 4, c_no: 1
guard, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
ebola, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
if, p_yes: 0.0037632111129836054, p_no: 0.0059874970080114895, c_yes: 25, c_no: 17
risk, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
aggressive, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
video, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
official, p_yes: 0.000603377711437995, p_no: 0.0007075172831336327, c_yes: 4, c_no: 2
that, p_yes: 0.011437092231022943, p_no: 0.012675471326190107, c_yes: 76, c_no: 36
some, p_yes: 0.0010547824830873678, p_no: 0.0007075172831336327, c_yes: 7, c_no: 2
covid19, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
originated, p_yes: 0.000603377711437995, p_no: 0.00035551863480844234, c_yes: 4, c_no: 1
donald, p_yes: 0.0004529094542215374, p_no: 3.519986483251904e-06, c_yes: 3, c_no: 0
because, p_yes: 0.0019575920263861135, p_no: 0.0024675105247595848, c_yes: 13, c_no: 7
flu, p_yes: 0.0010547824830873678, p_no: 0.001059515931458823, c_yes: 7, c_no: 3
get, p_yes: 0.0022585285408190285, p_no: 0.0028195091730847752, c_yes: 15, c_no: 8
touching, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
response,, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
goes, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
republican, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
celebrities, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
reports, p_yes: 0.0004529094542215374, p_no: 3.519986483251904e-06, c_yes: 3, c_no: 0
professionals, p_yes: 0.0001519729397886222, p_no: 0.0007075172831336327, c_yes: 1, c_no: 2
v., p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
continues, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
gloves,, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
was, p_yes: 0.004816488913498808, p_no: 0.003523506469735156, c_yes: 32, c_no: 10
class, p_yes: 0.00030244119700507976, p_no: 0.0007075172831336327, c_yes: 2, c_no: 2
mom, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
time, p_yes: 0.0010547824830873678, p_no: 0.0021155118764343943, c_yes: 7, c_no: 6
doctors,, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
ever, p_yes: 0.0004529094542215374, p_no: 3.519986483251904e-06, c_yes: 3, c_no: 0
violating, p_yes: 1.5046825721645762e-06, p_no: 0.0007075172831336327, c_yes: 0, c_no: 2
pneumonia, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
nothing, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
million, p_yes: 0.000603377711437995, p_no: 0.00035551863480844234, c_yes: 4, c_no: 1
supply., p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
#coronaalert, p_yes: 1.5046825721645762e-06, p_no: 0.0007075172831336327, c_yes: 0, c_no: 2
way, p_yes: 0.0009043142258709102, p_no: 0.001763513228109204, c_yes: 6, c_no: 5
including, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
danger, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
jan, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
wondering, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
do, p_yes: 0.0021080602836025713, p_no: 0.004227503766385537, c_yes: 14, c_no: 12
false, p_yes: 0.0004529094542215374, p_no: 0.00035551863480844234, c_yes: 3, c_no: 1
what, p_yes: 0.0022585285408190285, p_no: 0.005635498359686299, c_yes: 15, c_no: 16
she’s, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
photo, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
so, p_yes: 0.0021080602836025713, p_no: 0.0031715078214099657, c_yes: 14, c_no: 9
nigeria, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
w, p_yes: 0.0007538459686544526, p_no: 3.519986483251904e-06, c_yes: 5, c_no: 0
first,, p_yes: 1.5046825721645762e-06, p_no: 0.0007075172831336327, c_yes: 0, c_no: 2
each, p_yes: 1.5046825721645762e-06, p_no: 0.0007075172831336327, c_yes: 0, c_no: 2
transmission, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
""the, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
me), p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
right?, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
senior, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
you,, p_yes: 0.0001519729397886222, p_no: 0.0007075172831336327, c_yes: 1, c_no: 2
ron, p_yes: 0.0004529094542215374, p_no: 3.519986483251904e-06, c_yes: 3, c_no: 0
fox, p_yes: 0.00030244119700507976, p_no: 0.0007075172831336327, c_yes: 2, c_no: 2
politician, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
getting, p_yes: 0.0004529094542215374, p_no: 0.0007075172831336327, c_yes: 3, c_no: 2
anyone, p_yes: 0.0004529094542215374, p_no: 0.001059515931458823, c_yes: 3, c_no: 3
dr., p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
share, p_yes: 0.000603377711437995, p_no: 0.00035551863480844234, c_yes: 4, c_no: 1
stock, p_yes: 0.0007538459686544526, p_no: 3.519986483251904e-06, c_yes: 5, c_no: 0
next, p_yes: 0.0004529094542215374, p_no: 0.00035551863480844234, c_yes: 3, c_no: 1
gonna, p_yes: 0.0004529094542215374, p_no: 0.001059515931458823, c_yes: 3, c_no: 3
any, p_yes: 0.0016566555119531983, p_no: 0.001059515931458823, c_yes: 11, c_no: 3
losing, p_yes: 1.5046825721645762e-06, p_no: 0.001059515931458823, c_yes: 0, c_no: 3
doing, p_yes: 0.0004529094542215374, p_no: 0.0007075172831336327, c_yes: 3, c_no: 2
showing, p_yes: 0.0001519729397886222, p_no: 0.001059515931458823, c_yes: 1, c_no: 3
young, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
spread., p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
2/28, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
act, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
deny, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
announcing, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
thing, p_yes: 0.0004529094542215374, p_no: 0.001059515931458823, c_yes: 3, c_no: 3
general, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
where, p_yes: 0.0007538459686544526, p_no: 0.00035551863480844234, c_yes: 5, c_no: 1
contain,, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
continue, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
peddled, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
enable, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
you’re, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
global, p_yes: 0.000603377711437995, p_no: 0.0007075172831336327, c_yes: 4, c_no: 2
how, p_yes: 0.0009043142258709102, p_no: 0.005283499711361109, c_yes: 6, c_no: 15
working, p_yes: 0.0004529094542215374, p_no: 0.00035551863480844234, c_yes: 3, c_no: 1
this., p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
name, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
“change, p_yes: 1.5046825721645762e-06, p_no: 0.0007075172831336327, c_yes: 0, c_no: 2
take, p_yes: 0.001807123769169656, p_no: 0.001059515931458823, c_yes: 12, c_no: 3
found, p_yes: 0.000603377711437995, p_no: 0.0007075172831336327, c_yes: 4, c_no: 2
change, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
day, p_yes: 0.00030244119700507976, p_no: 0.0014115145797840135, c_yes: 2, c_no: 4
whatsapp., p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
should, p_yes: 0.0012052507403038256, p_no: 0.0024675105247595848, c_yes: 8, c_no: 7
it's, p_yes: 0.0012052507403038256, p_no: 0.001763513228109204, c_yes: 8, c_no: 5
crisis?, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
boris, p_yes: 0.0004529094542215374, p_no: 3.519986483251904e-06, c_yes: 3, c_no: 0
hold, p_yes: 0.00030244119700507976, p_no: 0.00035551863480844234, c_yes: 2, c_no: 1
everything, p_yes: 0.00030244119700507976, p_no: 0.0007075172831336327, c_yes: 2, c_no: 2
seen, p_yes: 0.0001519729397886222, p_no: 0.001059515931458823, c_yes: 1, c_no: 3
infects, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
ago,, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
life, p_yes: 0.0007538459686544526, p_no: 0.0014115145797840135, c_yes: 5, c_no: 4
thing., p_yes: 0.0004529094542215374, p_no: 3.519986483251904e-06, c_yes: 3, c_no: 0
stopped, p_yes: 0.0004529094542215374, p_no: 0.00035551863480844234, c_yes: 3, c_no: 1
have, p_yes: 0.005869766714014011, p_no: 0.009155484842938204, c_yes: 39, c_no: 26
dad, p_yes: 1.5046825721645762e-06, p_no: 0.0007075172831336327, c_yes: 0, c_no: 2
qatar, p_yes: 0.0007538459686544526, p_no: 3.519986483251904e-06, c_yes: 5, c_no: 0
all, p_yes: 0.0037632111129836054, p_no: 0.005635498359686299, c_yes: 25, c_no: 16
congress, p_yes: 0.0004529094542215374, p_no: 0.00035551863480844234, c_yes: 3, c_no: 1
yes,, p_yes: 0.0001519729397886222, p_no: 0.0007075172831336327, c_yes: 1, c_no: 2
amazing!, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
caught, p_yes: 0.00030244119700507976, p_no: 0.00035551863480844234, c_yes: 2, c_no: 1
refuse, p_yes: 0.00030244119700507976, p_no: 0.00035551863480844234, c_yes: 2, c_no: 1
rick, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
blamed, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
we'd, p_yes: 0.00030244119700507976, p_no: 0.00035551863480844234, c_yes: 2, c_no: 1
those, p_yes: 0.000603377711437995, p_no: 0.003523506469735156, c_yes: 4, c_no: 10
thursday, p_yes: 0.0004529094542215374, p_no: 0.00035551863480844234, c_yes: 3, c_no: 1
remember, p_yes: 0.0001519729397886222, p_no: 0.0007075172831336327, c_yes: 1, c_no: 2
protect, p_yes: 0.0010547824830873678, p_no: 0.0007075172831336327, c_yes: 7, c_no: 2
admitted, p_yes: 0.0009043142258709102, p_no: 3.519986483251904e-06, c_yes: 6, c_no: 0
there's, p_yes: 0.0009043142258709102, p_no: 0.0007075172831336327, c_yes: 6, c_no: 2
up, p_yes: 0.0021080602836025713, p_no: 0.0021155118764343943, c_yes: 14, c_no: 6
far, p_yes: 0.0004529094542215374, p_no: 0.00035551863480844234, c_yes: 3, c_no: 1
20., p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
same, p_yes: 0.0007538459686544526, p_no: 0.00035551863480844234, c_yes: 5, c_no: 1
benefits, p_yes: 0.00030244119700507976, p_no: 0.00035551863480844234, c_yes: 2, c_no: 1
few, p_yes: 0.00030244119700507976, p_no: 0.0007075172831336327, c_yes: 2, c_no: 2
platforms, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
april, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
due, p_yes: 0.0012052507403038256, p_no: 0.001059515931458823, c_yes: 8, c_no: 3
four, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
protective, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
ali, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
pm, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
workers,, p_yes: 0.0001519729397886222, p_no: 0.0007075172831336327, c_yes: 1, c_no: 2
ago:, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
boomer, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
provide, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
well, p_yes: 0.00030244119700507976, p_no: 0.00035551863480844234, c_yes: 2, c_no: 1
request, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
i’m, p_yes: 0.0001519729397886222, p_no: 0.001059515931458823, c_yes: 1, c_no: 3
its, p_yes: 0.001807123769169656, p_no: 0.0007075172831336327, c_yes: 12, c_no: 2
grandpa, p_yes: 1.5046825721645762e-06, p_no: 0.001059515931458823, c_yes: 0, c_no: 3
away, p_yes: 0.000603377711437995, p_no: 0.001059515931458823, c_yes: 4, c_no: 3
clearly, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
