#whatsapp, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
3,398, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
feb, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
pay, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
mental, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
he, p_yes: 0.0034897081181571735, p_no: 0.001323950287120157, c_yes: 31, c_no: 5
guy., p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
scam, p_yes: 0.00022619520533685643, p_no: 2.6426153435532076e-06, c_yes: 2, c_no: 0
5., p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
plane, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
now., p_yes: 0.0005637999894217168, p_no: 0.0007954272184095154, c_yes: 5, c_no: 3
mitigate, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
violating, p_yes: 1.125349280282868e-06, p_no: 0.0005311656840541947, c_yes: 0, c_no: 2
movie., p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
italy’s, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
netflix, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
❤️, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
live., p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
canceled, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
hind!, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
happened,, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
subtitled, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
humanity,, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
“that’s, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
ice, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
mark, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
exposed, p_yes: 0.00011366027730856965, p_no: 0.000266904149698874, c_yes: 1, c_no: 1
#kckpd, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
right., p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
.@nationalnurses, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
binay, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
manufacturing, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
olympics;, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
microbe, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
gaston, p_yes: 0.00033873013336514323, p_no: 2.6426153435532076e-06, c_yes: 3, c_no: 0
training..., p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
loeffler, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
'that's, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
home,, p_yes: 0.00045126506139343, p_no: 2.6426153435532076e-06, c_yes: 4, c_no: 0
cease, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
(unintentional), p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
associated, p_yes: 0.00022619520533685643, p_no: 2.6426153435532076e-06, c_yes: 2, c_no: 0
tw, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
#jimbakker, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
silly, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
converted, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
â£574.70, p_yes: 0.00022619520533685643, p_no: 2.6426153435532076e-06, c_yes: 2, c_no: 0
sup, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
costs, p_yes: 0.00011366027730856965, p_no: 0.000266904149698874, c_yes: 1, c_no: 1
flights., p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
police, p_yes: 0.00022619520533685643, p_no: 0.000266904149698874, c_yes: 2, c_no: 1
breaking, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
https://t.co/jkyfmoqo5a, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
doctors,, p_yes: 0.00022619520533685643, p_no: 2.6426153435532076e-06, c_yes: 2, c_no: 0
advice⚠️, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
risk, p_yes: 0.00011366027730856965, p_no: 0.000266904149698874, c_yes: 1, c_no: 1
https://t.co/1qjalakp6j, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
https://t.co/4xbsiumebl, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
term, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
deaths, p_yes: 0.00045126506139343, p_no: 0.000266904149698874, c_yes: 4, c_no: 1
vs, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
accompanying, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
been, p_yes: 0.0016891492697045847, p_no: 0.001323950287120157, c_yes: 15, c_no: 5
given, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
rule, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
werenât, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
updated, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
osman., p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
away., p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
#nofakenews, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
denyin’, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
deflated, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
coronavirus, p_yes: 0.0016891492697045847, p_no: 0.0010596887527648362, c_yes: 15, c_no: 4
outbreak,, p_yes: 0.00022619520533685643, p_no: 2.6426153435532076e-06, c_yes: 2, c_no: 0
effect, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
downplayed, p_yes: 0.00022619520533685643, p_no: 2.6426153435532076e-06, c_yes: 2, c_no: 0
anything., p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
lot, p_yes: 0.00011366027730856965, p_no: 0.0007954272184095154, c_yes: 1, c_no: 3
express, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
here, p_yes: 0.00033873013336514323, p_no: 0.0015882118214754777, c_yes: 3, c_no: 6
h-, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
covid19, p_yes: 0.00022619520533685643, p_no: 2.6426153435532076e-06, c_yes: 2, c_no: 0
messages, p_yes: 0.00022619520533685643, p_no: 0.000266904149698874, c_yes: 2, c_no: 1
king, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
prophylatically, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
ðð½, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
sen., p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
@easportsfifa, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
his, p_yes: 0.0018016841977328718, p_no: 0.0010596887527648362, c_yes: 16, c_no: 4
🇲🇦morocco, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
anxiety?, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
travel., p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
sufficient, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
accelerating, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
donated, p_yes: 0.00045126506139343, p_no: 2.6426153435532076e-06, c_yes: 4, c_no: 0
probably, p_yes: 0.00022619520533685643, p_no: 2.6426153435532076e-06, c_yes: 2, c_no: 0
carriers,, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
📧-, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
https://t.co/wt1npouqdy, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
|, p_yes: 0.00033873013336514323, p_no: 2.6426153435532076e-06, c_yes: 3, c_no: 0
misinformation/#fakenews, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
ruling, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
#fearporn,, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
""leadership"", p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
didn’t, p_yes: 0.00022619520533685643, p_no: 2.6426153435532076e-06, c_yes: 2, c_no: 0
https://t.co/oiz1i3ypoz, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
placed, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
quote, p_yes: 1.125349280282868e-06, p_no: 0.0005311656840541947, c_yes: 0, c_no: 2
deserves, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
.005%, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
qatar.., p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
growing, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
giroir,, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
border, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
streets, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
11259, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
earlier, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
went., p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
nile, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
possible., p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
works, p_yes: 0.00011366027730856965, p_no: 0.000266904149698874, c_yes: 1, c_no: 1
contracting, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
509, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
large, p_yes: 0.00011366027730856965, p_no: 0.000266904149698874, c_yes: 1, c_no: 1
brain., p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
nominees, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
she, p_yes: 0.0006763349174500036, p_no: 0.000266904149698874, c_yes: 6, c_no: 1
goes., p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
dhruv, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
workers., p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
#covid19out, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
scary, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
damages., p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
wanna, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
pin, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
troops, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
wall, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
patna,, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
thank, p_yes: 0.00033873013336514323, p_no: 0.0010596887527648362, c_yes: 3, c_no: 4
words., p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
#votebluetosaveamerica, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
recovered., p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
needs, p_yes: 0.00033873013336514323, p_no: 0.0007954272184095154, c_yes: 3, c_no: 3
future, p_yes: 1.125349280282868e-06, p_no: 0.0005311656840541947, c_yes: 0, c_no: 2
real,, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
#coronavirusupdate, p_yes: 0.00022619520533685643, p_no: 2.6426153435532076e-06, c_yes: 2, c_no: 0
video..., p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
til, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
@msnbc⁩, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
carried, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
-, p_yes: 0.0034897081181571735, p_no: 0.00238099642454144, c_yes: 31, c_no: 9
us.", p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
*will*, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
ny,, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
📽️:, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
worked, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
without, p_yes: 0.00045126506139343, p_no: 0.0015882118214754777, c_yes: 4, c_no: 6
primary, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
wake, p_yes: 0.00022619520533685643, p_no: 2.6426153435532076e-06, c_yes: 2, c_no: 0
https://t.co/g5qpobskw4, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
political, p_yes: 0.00022619520533685643, p_no: 0.000266904149698874, c_yes: 2, c_no: 1
position, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
finds, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
nearly, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
helping, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
#factsnotfear, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
(and, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
responsible., p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
remedies, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
more,, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
information., p_yes: 0.00011366027730856965, p_no: 0.000266904149698874, c_yes: 1, c_no: 1
deaths,, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
taxi, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
2016, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
play, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
blood, p_yes: 0.00022619520533685643, p_no: 2.6426153435532076e-06, c_yes: 2, c_no: 0
7., p_yes: 0.00011366027730856965, p_no: 0.000266904149698874, c_yes: 1, c_no: 1
true,, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
big, p_yes: 0.00045126506139343, p_no: 0.0010596887527648362, c_yes: 4, c_no: 4
miss, p_yes: 1.125349280282868e-06, p_no: 0.0010596887527648362, c_yes: 0, c_no: 4
sight!, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
office., p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
https://t.co/thjrvohemj, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
ado,, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
prison, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
shortage, p_yes: 0.00022619520533685643, p_no: 2.6426153435532076e-06, c_yes: 2, c_no: 0
jfk, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
yes,, p_yes: 0.00011366027730856965, p_no: 0.0005311656840541947, c_yes: 1, c_no: 2
interact, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
come., p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
#shareinformation, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
sadhguru., p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
@jaketapper, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
covid-19., p_yes: 0.00022619520533685643, p_no: 2.6426153435532076e-06, c_yes: 2, c_no: 0
spread, p_yes: 0.003152103334072313, p_no: 0.001323950287120157, c_yes: 28, c_no: 5
conversations, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
check, p_yes: 0.00033873013336514323, p_no: 0.0007954272184095154, c_yes: 3, c_no: 3
#covid19,, p_yes: 0.00022619520533685643, p_no: 0.000266904149698874, c_yes: 2, c_no: 1
jordans, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
toilet, p_yes: 0.00022619520533685643, p_no: 2.6426153435532076e-06, c_yes: 2, c_no: 0
you,, p_yes: 0.00011366027730856965, p_no: 0.0005311656840541947, c_yes: 1, c_no: 2
quick-test, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
#covid19india, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
#takingoncorona, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
invincible.”, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
👇🏻👇🏻👇🏻, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
universal, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
nature, p_yes: 0.00022619520533685643, p_no: 2.6426153435532076e-06, c_yes: 2, c_no: 0
goes, p_yes: 0.00022619520533685643, p_no: 2.6426153435532076e-06, c_yes: 2, c_no: 0
thousands, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
testing., p_yes: 0.00033873013336514323, p_no: 0.000266904149698874, c_yes: 3, c_no: 1
#trumptownhall, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
sakit, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
our, p_yes: 0.0013515444856197242, p_no: 0.0029095194932520817, c_yes: 12, c_no: 11
corporate, p_yes: 0.00022619520533685643, p_no: 2.6426153435532076e-06, c_yes: 2, c_no: 0
patience, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
difficulties, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
mostly, p_yes: 0.00022619520533685643, p_no: 2.6426153435532076e-06, c_yes: 2, c_no: 0
kids, p_yes: 0.00011366027730856965, p_no: 0.0005311656840541947, c_yes: 1, c_no: 2
https://t.co/gfpnwvfh3e, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
2), p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
https://t.co/lbk88qgr8u, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
dystopian, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
(coronavirus, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
break., p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
clean, p_yes: 0.00011366027730856965, p_no: 0.000266904149698874, c_yes: 1, c_no: 1
#namaste, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
nyc., p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
area,, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
opposite, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
infected-, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
nothin', p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
back, p_yes: 0.0007888698454782903, p_no: 0.0005311656840541947, c_yes: 7, c_no: 2
asymptomatic, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
fraud, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
region, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
😭☠️, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
reassurance, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
#norumors, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
perfect, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
to, p_yes: 0.027234577932125685, p_no: 0.024578965310388386, c_yes: 242, c_no: 93
niggas, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
skiing, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
treasury;, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
